,Phoenix Trades - 25K-75K Challenge,,,,,,,,,,,,,,
Trade #,Ticker,Trade Enter,Trade Exit,Exp Date,Strike,C/P,Initial Contracts,# of Contracts,Average Cost/Option,$ Average Cost,Market Value,% Gain,$ Gain,Open/Closed,Notes
145,NVDA,17-Jul,18-Jul,17-Oct,170,C,1,1,"$1,650.00 ","$1,650.00 ","$1,555.00 ",-5.76%,($95.00),closed,
146,AMD,17-Jul,18-Jul,17-Oct,160,C,1,1,"$1,515.00 ","$1,515.00 ","$1,345.00 ",-11.22%,($170.00),closed,
147,AMC,17-Jul,18-Jul,15-Aug,2,C,9,9,$148.00 ,"$1,332.00 ","$1,422.00 ",6.76%,$90.00 ,closed,
148,MMM,17-Jul,18-Jul,15-Aug,145,C,1,1,"$1,565.00 ","$1,565.00 ","$1,080.00 ",-30.99%,($485.00),closed,
149,TSLA,17-Jul,,17-Oct,330,C,1,2,"$3,295.00 ","$6,590.00 ","$7,510.00 ",13.96%,$920.00 ,closed,Added 1 on 7/18 @ 35.7
150,JD,17-Jul,29-Jul,19-Sep,33,C,10,5,$242.00 ,"$1,210.00 ","$1,125.00 ",-7.02%,($85.00),closed,sold 5 on 7/18 @ 2.92
151,COIN,18-Jul,24-Jul,16-Jan,500,C,1,1,"$5,280.00 ","$5,280.00 ","$3,600.00 ",-31.82%,"($1,680.00)",closed,
152,COIN,18-Jul,24-Jul,16-Jan,260,P,1,1,"$1,030.00 ","$1,030.00 ","$1,140.00 ",10.68%,$110.00 ,closed,
153,AAPL,18-Jul,29-Jul,15-Aug,215,P,1,1,$762.50 ,$762.50 ,$875.00 ,14.75%,$112.50 ,closed,"Added 1 on 7/18 @ 8.55, sold 1 on 7/21 @ 7.65, added 1 on 7/25 @ 6.6, sold 1 on 7/28 @ 6"
154,AAPL,18-Jul,1-Aug,17-Oct,200,C,2,3,"$2,008.75 ","$6,026.25 ","$3,645.00 ",-39.51%,"($2,381.25)",closed,"Added 2 on 7/18 @ 19.3, sold 1 on 7/21 @ 20.6, sold 1 on 7/21 @ 19.85, Added 2 on 7/25 @ 21, sold 1 on 7/28 @ 20.75"
